iter	Logloss
0	0.678900875
1	0.6655208103
2	0.6534890524
3	0.6416766741
4	0.6306437591
5	0.6208245116
6	0.6112635861
7	0.602370487
8	0.5942290866
9	0.5867377675
10	0.5796370199
11	0.573088507
12	0.566965219
13	0.560967744
14	0.5556171963
15	0.5503631915
16	0.5453427027
17	0.5400277275
18	0.5345941263
19	0.5290378005
20	0.5238464577
21	0.5188454525
22	0.5154703169
23	0.5114142245
24	0.507229111
25	0.5035363262
26	0.5003498917
27	0.496410225
28	0.4936763195
29	0.4902948888
30	0.4878283403
31	0.4853429023
32	0.4820369447
33	0.4789312977
34	0.4759921459
35	0.4733293183
36	0.4711347587
37	0.4686666283
38	0.4665038053
39	0.4644738305
40	0.4631611834
41	0.4619573461
42	0.4600946566
43	0.4587660302
44	0.4571517587
45	0.455552957
46	0.4542936722
47	0.45289609
48	0.4516263051
49	0.450796826
50	0.4496148287
51	0.4483635214
52	0.4473364419
53	0.446996709
54	0.4457727116
55	0.4447655734
56	0.4436926587
57	0.4428234572
58	0.4419836169
59	0.4412128708
60	0.4404705294
61	0.4401420882
62	0.4399753626
63	0.4392095895
64	0.4385564048
65	0.4377860214
66	0.4371890996
67	0.4366190222
68	0.4361860349
69	0.4358836656
70	0.4352682545
71	0.4346104886
72	0.4340775062
73	0.4340014453
74	0.4337151191
75	0.4333302309
76	0.4332678654
77	0.4326923697
78	0.43214048
79	0.4315204928
80	0.4309233422
81	0.4304830093
82	0.4301308105
83	0.429631321
84	0.4295968813
85	0.429564501
86	0.4291550985
87	0.4286655992
88	0.4281039997
89	0.4277547013
90	0.4274387348
91	0.4271297956
92	0.4268231817
93	0.4265241915
94	0.4261805717
95	0.425967756
96	0.4257621827
97	0.4254769602
98	0.4251289704
99	0.4248515075
100	0.4246139019
101	0.4246042674
102	0.4243980902
103	0.4241251425
104	0.4237728962
105	0.4234494159
106	0.4230993271
107	0.4227884809
108	0.422567904
109	0.4224063659
110	0.4221698758
111	0.4221654847
112	0.4218879234
113	0.4216906303
114	0.4214107519
115	0.4214075828
116	0.4211958537
117	0.420990377
118	0.4206556334
119	0.4203980911
120	0.4202000361
121	0.4200481558
122	0.4198062671
123	0.4196704547
124	0.4195439549
125	0.4193809797
126	0.4192291157
127	0.4189572564
128	0.4189562239
129	0.4186295252
130	0.4184022914
131	0.4182453789
132	0.4181621018
133	0.4180581004
134	0.4178405324
135	0.4177166626
136	0.4175549826
137	0.4173411605
138	0.4172553386
139	0.4171414441
140	0.4169827315
141	0.4167691073
142	0.4166234438
143	0.4165824506
144	0.4164168075
145	0.4162813978
146	0.4161087534
147	0.4159171488
148	0.4157818904
149	0.4157627517
150	0.4155747342
151	0.415417655
152	0.4151730122
153	0.4150079017
154	0.4148017087
155	0.4147161971
156	0.4145239157
157	0.4143682321
158	0.4141040775
159	0.4139679676
160	0.4138744785
161	0.4137111802
162	0.4135712035
163	0.4134264039
164	0.4131508366
165	0.4129536931
166	0.4128757873
167	0.4127941149
168	0.4127827778
169	0.4126536845
170	0.4126422566
171	0.4124188384
172	0.4122051869
173	0.412067276
174	0.4120525333
175	0.411984245
176	0.4118418657
177	0.4117494968
178	0.4117492558
179	0.4117127411
180	0.4116558802
181	0.4114979554
182	0.4112931245
183	0.4111429814
184	0.4110771127
185	0.4109872037
186	0.4109802599
187	0.4107739635
188	0.4107705571
189	0.4106934068
190	0.4105916032
191	0.4105089145
192	0.4105084766
193	0.4102681992
194	0.4101742037
195	0.410174182
196	0.4101710642
197	0.4100906616
198	0.4100876588
199	0.40999778
200	0.4099973609
201	0.409901641
202	0.4098138499
203	0.4096469011
204	0.4095751595
205	0.4095276428
206	0.4094547729
207	0.4093873346
208	0.4093039081
209	0.4092376939
210	0.4091273628
211	0.4090783636
212	0.4090748419
213	0.4088116257
214	0.4086951934
215	0.4086202382
216	0.4085877067
217	0.4084580792
218	0.4084580562
219	0.4084579588
220	0.4084037574
221	0.4084035884
222	0.4083782465
223	0.4082626827
224	0.4081614334
225	0.4080949376
226	0.4080949113
227	0.4080490657
228	0.4079886141
229	0.4079541409
230	0.4078554021
231	0.4076908376
232	0.4076116549
233	0.4075440266
234	0.4074725364
235	0.407333817
236	0.4073338105
237	0.4072643479
238	0.4072643272
239	0.4071040801
240	0.4070972185
241	0.4069806012
242	0.4069682122
243	0.4069062301
244	0.4067275752
245	0.4067275492
246	0.4067263511
247	0.4067263478
248	0.4066041134
249	0.4065574752
250	0.4065125567
251	0.4064564287
252	0.4063731704
253	0.406372777
254	0.4062613957
255	0.4060758437
256	0.406019078
257	0.405970027
258	0.4057647942
259	0.4057376362
260	0.4056313949
261	0.405584734
262	0.4054648469
263	0.4053325769
264	0.4051047668
265	0.4050002637
266	0.4048384471
267	0.4047496262
268	0.4047492333
269	0.4047309607
270	0.404644515
271	0.4045716272
272	0.4045714097
273	0.4045251515
274	0.4044853801
275	0.4044216776
276	0.404339404
277	0.4043369601
278	0.404248495
279	0.4040906403
280	0.4040906216
281	0.4040329217
282	0.403914134
283	0.403791678
284	0.4037010224
285	0.4036041607
286	0.4034900099
287	0.403429075
288	0.4034235584
289	0.4032509755
290	0.4032365322
291	0.4031782832
292	0.4030591081
293	0.4029423317
294	0.402942174
295	0.4028559279
296	0.4028299086
297	0.4028293436
298	0.402767078
299	0.402642935
300	0.4025133715
301	0.4024726278
302	0.4022426404
303	0.4021366768
304	0.402079293
305	0.4020769921
306	0.4019706115
307	0.4018804581
308	0.4018251631
309	0.401680209
310	0.4015372171
311	0.4014717049
312	0.4014040919
313	0.4013448268
314	0.4011839845
315	0.4010368795
316	0.4009004387
317	0.4008338505
318	0.4006960508
319	0.4006519883
320	0.4005696534
321	0.4004844879
322	0.4004407327
323	0.4004021739
324	0.4004008482
325	0.4002578706
326	0.4001864207
327	0.4000516522
328	0.3998499668
329	0.3997431753
330	0.3997383918
331	0.3996665285
332	0.3996036223
333	0.3995006972
334	0.3994505244
335	0.3994145069
336	0.3993392435
337	0.3992758092
338	0.3992653967
339	0.3991779347
340	0.3991249946
341	0.3991028291
342	0.3991017862
343	0.3989373223
344	0.3987579787
345	0.3986971025
346	0.3986589934
347	0.3985383454
348	0.3985380218
349	0.3983955341
350	0.3983238297
351	0.3983061097
352	0.3982618121
353	0.3982069408
354	0.3980979524
355	0.3980479505
356	0.3980039399
357	0.3980036584
358	0.3979155987
359	0.3979152929
360	0.3978205615
361	0.3977689524
362	0.3977012987
363	0.3976921194
364	0.3976041752
365	0.3975511932
366	0.3975320324
367	0.397450895
368	0.397254186
369	0.3972535702
370	0.3971309851
371	0.3971048683
372	0.397021046
373	0.3969439246
374	0.3968810327
375	0.3967639026
376	0.3967113761
377	0.3966475157
378	0.3965796005
379	0.3965789186
380	0.3963909242
381	0.3962900596
382	0.3962308926
383	0.3961455125
384	0.3961074591
385	0.3960077104
386	0.3959477026
387	0.3959393238
388	0.3959009808
389	0.3956593742
390	0.3954997339
391	0.3954993682
392	0.3954451681
393	0.3952210215
394	0.3952138415
395	0.3951077781
396	0.394984283
397	0.3948277399
398	0.3946825683
399	0.3946574894
400	0.3946026101
401	0.3944813261
402	0.3944433445
403	0.3942373196
404	0.3942001344
405	0.3941461798
406	0.3940350113
407	0.3939601918
408	0.3938629756
409	0.3938175475
410	0.3936068234
411	0.393496601
412	0.3934457705
413	0.3933318198
414	0.3932579035
415	0.3931284573
416	0.3928988101
417	0.3928267077
418	0.3927365024
419	0.3926263757
420	0.3925559692
421	0.3924538695
422	0.3923896374
423	0.3923866404
424	0.3923587572
425	0.3923575499
426	0.3922639061
427	0.3921062155
428	0.3920405729
429	0.3919496684
430	0.3919414688
431	0.3918951481
432	0.3918041345
433	0.391602486
434	0.3915558206
435	0.3914455744
436	0.391438198
437	0.3912743611
438	0.3910870624
439	0.390988139
440	0.3908654556
441	0.3907723934
442	0.390691604
443	0.3905193254
444	0.3904535828
445	0.3904121185
446	0.3903282625
447	0.3903034541
448	0.3902867689
449	0.3901656692
450	0.3901580201
451	0.3900039395
452	0.3899773305
453	0.3898819501
454	0.3897575103
455	0.3897403165
456	0.3896745474
457	0.3894991326
458	0.389409051
459	0.3893190854
460	0.3892645167
461	0.3892011875
462	0.3891381057
463	0.3889767607
464	0.3889321411
465	0.3888950936
466	0.388776796
467	0.388696124
468	0.3886408037
469	0.3885647331
470	0.3884473086
471	0.3884290438
472	0.3884109485
473	0.3884026875
474	0.388210222
475	0.3881337511
476	0.3880713319
477	0.3880561406
478	0.3878601711
479	0.3877976251
480	0.3877643119
481	0.3876659475
482	0.3875589746
483	0.387443828
484	0.387405366
485	0.3873183898
486	0.3872687548
487	0.3871107168
488	0.3869972904
489	0.3868729085
490	0.3868276066
491	0.3867320274
492	0.3866862761
493	0.3866819139
494	0.3866478051
495	0.3866429908
496	0.386630643
497	0.3865394677
498	0.3863966699
499	0.3862731104
500	0.3862705355
501	0.3862605176
502	0.3862077305
503	0.3861471234
504	0.3860953226
505	0.3860932732
506	0.3860323768
507	0.3860044154
508	0.3858700538
509	0.3857771761
510	0.3857370039
511	0.3855840904
512	0.3854083093
513	0.3853241317
514	0.3852657742
515	0.3852571785
516	0.3852408608
517	0.3851608914
518	0.3850542137
519	0.3850044057
520	0.384942948
521	0.3848912921
522	0.3848165485
523	0.3846751729
524	0.3846714568
525	0.3846398799
526	0.3846080186
527	0.3845807671
528	0.3845558519
529	0.3844660269
530	0.3842944174
531	0.3841488038
532	0.3841312444
533	0.3840896799
534	0.3839662261
535	0.3839651297
536	0.383891104
537	0.3838250665
538	0.3838183495
539	0.3837618761
540	0.3836413432
541	0.383547387
542	0.3833882622
543	0.3833850968
